data-start,data-end,data-deviceid,data-username,data-welcome,data-organization_name,data-project_name,data-data_consent,data-consent_given-access_consent,data-consent_given-field_fallow,data-consent_given-field_planted-post_harvest_record,data-consent_given-field_planted-post_harvest_tip,data-consent_given-field_planted-primary_crop_type,data-consent_given-field_planted-multiple_crops,data-consent_given-field_planted-multiple_crops_percentage,data-consent_given-field_planted-primary_crop,data-consent_given-field_planted-primary_crop_other,data-consent_given-field_planted-primary_coffee_variety_other,data-consent_given-field_planted-secondary_crop,data-consent_given-field_planted-secondary_crop_other,Cleaned_Coordinates,data-consent_given-field_planted-crop_development,data-consent_given-field_planted-primary_coffee_variety,data-consent_given-field_planted-trees_count,data-consent_given-field_planted-trees_planting_date,data-consent_given-field_planted-yield_reporting,data-consent_given-field_planted-yield_reporting_guide,data-consent_given-field_planted-repeat_tip,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,data-consent_given-field_planted-planting_date_type,data-consent_given-field_planted-planting_date_exact,data-consent_given-field_planted-planting_date_estimate,data-consent_given-field_planted-planting_date,data-consent_given-field_planted-harvesting_date_type,data-consent_given-field_planted-harvesting_date_exact,data-consent_given-field_planted-harvesting_date_estimate,data-consent_given-field_planted-harvesting_date,data-consent_given-water_source,data-consent_given-field_center,data-consent_given-field_center-altitude,data-consent_given-field_center-accuracy,data-consent_given-field_outside_corner,data-consent_given-field_outside_corner-altitude,data-consent_given-field_outside_corner-accuracy,data-consent_given-field_boundary,data-consent_given-field_area_grp-field_area,data-consent_given-field_area_grp-field_area_unit,data-consent_given-field_photo_ask,data-consent_given-field_photo_rpt,data-goodbye,data-meta-instanceID,KEY
19/4/2022 11:17,19/4/2022 11:19,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,other_annual,Macadamia nuts, , , ,"-14.984055,28.263446", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,rainfed,"-14.9842056,28.2637607",1163.078,4.982,"-14.9842056,28.2637607", , ,-14.983519508983358 28.26575931161642 0.0 0.0; -14.98237071483267 28.263417407870293 0.0 0.0; -14.984301346190877 28.2609648630023 0.0 0.0; -14.986243943427109 28.263331577181816 0.0 0.0; -14.983519508983358 28.26575931161642 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:adc6864b-3e11-45f4-bb21-241339cf886f,uuid:adc6864b-3e11-45f4-bb21-241339cf886f
19/4/2022 11:07,19/4/2022 11:12,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,other_annual,Vegetables, , , ,"-14.984883,28.263465", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,irrigated,"-14.9847021,28.2634547",1149.549,4.998,"-14.9847021,28.2634547", , ,-14.983458296256284 28.262326419353485 0.0 0.0; -14.985021644388372 28.2655755802989 0.0 0.0; -14.986194067026345 28.263908252120018 0.0 0.0; -14.985424220067864 28.262068927288055 0.0 0.0; -14.983458296256284 28.262326419353485 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:9b0aeb70-5f65-48b1-9497-cc296f0eefed,uuid:9b0aeb70-5f65-48b1-9497-cc296f0eefed
19/4/2022 11:55,19/4/2022 11:57,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,institutional,yes,no,no, ,annual,no, ,soybean, , , , ,"-14.982605,28.283526", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,rainfed,"-14.9836712,28.2840322",1206.058,0.817,"-14.9836712,28.2840322", , ,-14.982953695437079 28.282390348613262 0.0 0.0; -14.984458101940191 28.28203495591879 0.0 0.0; -14.98296567891062 28.28576222062111 0.0 0.0; -14.9805375543663 28.286350965499878 0.0 0.0; -14.982953695437079 28.282390348613262 0.0 0.0,3,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:a16295af-00de-4e4a-b10d-02bb9d34b1a7,uuid:a16295af-00de-4e4a-b10d-02bb9d34b1a7
19/4/2022 11:01,19/4/2022 11:04,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,other_annual,Sunflower, , , ,"-14.982348,28.259684", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,rainfed,"-14.9824112,28.2594076",1167.634,4.768,"-14.9824112,28.2594076", , ,-14.981413651564932 28.257877305150032 0.0 0.0; -14.980596176878572 28.25972869992256 0.0 0.0; -14.98294138808516 28.261310197412968 0.0 0.0; -14.984256327473059 28.260157853364944 0.0 0.0; -14.98307158687743 28.25737439095974 0.0 0.0; -14.981413651564932 28.257877305150032 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:b1d40aa6-a6bc-47d0-be00-3772d57177a7,uuid:b1d40aa6-a6bc-47d0-be00-3772d57177a7
13/4/2022 8:07,13/4/2022 8:12,collect:oyFrSUO7joRcR3Z7,RCMRD 1, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,maize, , , , ,"-14.311447,28.533784",harvest_ready, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,irrigated,"-14.311447,28.533784",1218.664,1.25,"-14.311447,28.533784", , ,-14.3115576 28.5338648 1161.678 7.512; -14.3116663 28.5338431 1161.035 7.267; -14.3116075 28.53386 1154.004 5.689; -14.3115301 28.5337803 1152.404 4.904; -14.3116382 28.5337612 1137.85 5.58; -14.3115576 28.5338648 1161.678 7.512,75,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:0694900d-13dd-4eb0-9d12-27aa4d8ceab8,uuid:0694900d-13dd-4eb0-9d12-27aa4d8ceab8
13/4/2022 8:25,13/4/2022 8:28,collect:oyFrSUO7joRcR3Z7,RCMRD 1, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,soybean, , , , ,"-14.305507,28.543857", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,irrigated,"-14.3057106,28.5433459",1133.078,1.131,"-14.3057106,28.5433459", , ,-14.3057001 28.54337 1117.9 9.437; -14.3057146 28.5435048 1135.02 6.714; -14.305704 28.5434227 1141.082 5.749; -14.3057113 28.5434174 1141.545 5.128; -14.3057001 28.54337 1117.9 9.437,75,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:f1a2a605-fbc6-4433-8106-faff6e93f428,uuid:f1a2a605-fbc6-4433-8106-faff6e93f428
13/4/2022 9:16,13/4/2022 9:41,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,institutional,yes,no,no, ,annual,no, ,maize, , , , ,"-14.292531,28.281275",grain, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,month_year, ,1/5/2022,2022-05-01T00:00:00.000+02:00,rainfed,"-14.2940286,28.2803524",1162.543,1.327,"-14.2940286,28.2803524", , ,-14.29393 28.2803533 0.0 0.0; -14.29393 28.2803533 0.0 0.0; -14.291538898660294 28.280183896422386 0.0 0.0; -14.29209740118215 28.277020566165447 0.0 0.0; -14.29393 28.2803533 0.0 0.0,3,acre,yes,data-consent_given-field_photo_rpt, ,uuid:cdbdf00a-309d-446e-9239-6c9e9bd0fcc7,uuid:cdbdf00a-309d-446e-9239-6c9e9bd0fcc7
13/4/2022 9:16,13/4/2022 9:25,collect:ZXzG4Q8s7Z9iIZTq,Ministry 2, ,RCMRD,Zambia Crop type mapping,institutional,yes,no,no, ,annual,no, ,maize, , , , ,"-14.292029,28.281648",grain, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,month_year, ,1/5/2022,2022-05-01T00:00:00.000+02:00,rainfed,"-14.293969,28.2804434",1149.808,2.273,"-14.293969,28.2804434", , ,-14.2939004 28.2803633 0.0 0.0; -14.2939004 28.2803633 0.0 0.0; -14.2939004 28.2803633 0.0 0.0; -14.294586440641405 28.28185223042965 0.0 0.0; -14.296689480442238 28.28016009181738 0.0 0.0; -14.2939004 28.2803633 0.0 0.0,3,acre,yes,data-consent_given-field_photo_rpt, ,uuid:103f6a0b-3576-4464-940a-766bf66dca54,uuid:103f6a0b-3576-4464-940a-766bf66dca54
13/4/2022 9:48,13/4/2022 9:57,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,yes,100,sorghum, , ,maize, ,"-14.2654251,28.2231902",grain, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,day_month_year,12/11/2021, ,2021-11-12T00:00:00.000+02:00,month_year, ,1/5/2022,2022-05-01T00:00:00.000+02:00,rainfed,"-14.2654251,28.2231902",1179.022,3.332,"-14.2654251,28.2231902", , ,-14.2654251 28.2231902 0.0 0.0; -14.264105914205395 28.22187803685665 0.0 0.0; -14.267183721621507 28.221203796565533 0.0 0.0; -14.2654251 28.2231902 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:1569be8e-f079-44c1-b59e-08d092c53b39,uuid:1569be8e-f079-44c1-b59e-08d092c53b39
13/4/2022 10:12,13/4/2022 10:17,collect:ZXzG4Q8s7Z9iIZTq,Ministry 2, ,RCMRD,Zambia Crop type mapping,institutional,yes,no,no, ,annual,no, ,maize, , , , ,"-14.222008,28.212168",grain, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,month_year, ,1/5/2022,2022-05-01T00:00:00.000+02:00,rainfed,"-14.2220685,28.2121945",1176.653,2.453,"-14.2220685,28.2121945", , ,-14.2221106 28.2122567 0.0 0.0; -14.222849102809088 28.210517540574074 0.0 0.0; -14.22520240873297 28.213202767074108 0.0 0.0; -14.2221106 28.2122567 0.0 0.0,50,square_meter,yes,data-consent_given-field_photo_rpt, ,uuid:f5614439-4ec3-42b5-876e-0a744ff5d022,uuid:f5614439-4ec3-42b5-876e-0a744ff5d022
