# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.051000 0.069900 0.070600 0.222200 0.246300 0.174000 0.113700 0.185600 0.208400 2.499970 2.440335 4.926073 0.517760 0.967429 -0.557875 240.261505 0.057800 0.077600 0.087800 0.233700 0.296900 0.221900 0.132100 0.193600 0.216900 2.833899 2.448609 5.540308 0.453810 0.876473 -0.585581 246.054337 8.858455
1.000000 0.052300 0.073500 0.083900 0.220000 0.297800 0.219800 0.120700 0.184700 0.210000 2.642782 2.453237 4.838387 0.447845 0.806783 -0.604094 237.190979 0.061000 0.081800 0.098800 0.227700 0.306200 0.240000 0.134500 0.187900 0.210900 3.011880 2.590302 5.495333 0.394793 0.737393 -0.578351 241.214783 3.773077
0.000000 0.095400 0.118000 0.158950 0.228050 0.259900 0.203900 0.189650 0.237800 0.250650 2.724382 2.296214 6.873650 0.180498 0.315010 -0.379050 176.976624 0.099400 0.122900 0.163850 0.246400 0.268900 0.213150 0.195750 0.243850 0.258950 2.832364 2.424012 7.098407 0.189039 0.354967 -0.372430 204.188751 5.064795
0.000000 0.126050 0.129200 0.133000 0.176850 0.195600 0.154650 0.146300 0.175100 0.187000 2.535959 2.440499 6.574468 0.141474 0.245332 -0.205736 178.184479 0.138850 0.143050 0.148100 0.200350 0.223900 0.178800 0.162950 0.195900 0.211950 2.679402 2.416467 7.063043 0.149929 0.303767 -0.227945 204.918884 12.430362
0.000000 0.065800 0.090400 0.149100 0.250900 0.276700 0.217500 0.202400 0.255800 0.261800 3.137430 2.781944 7.254848 0.241800 0.402674 -0.503099 177.324020 0.078400 0.103400 0.169200 0.273600 0.313100 0.243200 0.221600 0.272200 0.282700 3.298665 2.746989 7.585447 0.233348 0.436825 -0.505186 204.450867 5.335937
0.000000 0.045850 0.061950 0.075800 0.118750 0.248950 0.201750 0.093050 0.108050 0.116300 3.060493 3.132555 7.444228 0.221431 0.199711 -0.600977 163.151031 0.051600 0.067800 0.080200 0.133100 0.248850 0.203050 0.101450 0.121250 0.129450 2.611608 2.670036 7.258393 0.246589 0.267983 -0.570390 131.557129 23.929287
1.000000 0.081600 0.132500 0.206650 0.234600 0.331850 0.301050 0.226650 0.234300 0.239300 3.679877 3.284772 9.176759 0.063105 0.017285 -0.429407 161.264359 0.075800 0.122650 0.191050 0.223050 0.307700 0.272300 0.211050 0.222050 0.225800 3.095635 2.710964 8.949976 0.076232 0.040765 -0.429789 130.311096 4.207318
0.000000 0.345650 0.385000 0.411450 0.391250 0.583350 0.643000 0.392750 0.378700 0.374200 2.890374 1.793618 7.202475 -0.015746 -0.212545 -0.221726 308.364868 0.326800 0.354100 0.378600 0.379500 0.558400 0.629400 0.371350 0.356100 0.349550 2.733918 1.746362 7.374176 -0.017236 -0.215964 -0.231258 303.974121 3.952847
1.000000 0.062200 0.101250 0.092550 0.343700 0.299550 0.179650 0.164850 0.281900 0.320250 2.437995 2.054298 5.278659 0.577019 1.469194 -0.494425 304.926361 0.052600 0.091400 0.084250 0.400750 0.249700 0.133750 0.158800 0.321050 0.375600 3.182386 2.602025 5.849959 0.653139 1.779423 -0.464181 302.556152 13.994997
0.000000 0.069000 0.079250 0.085100 0.143700 0.228950 0.196200 0.098550 0.119150 0.128250 2.987511 2.975865 6.008204 0.252408 0.344486 -0.486024 412.677368 0.089150 0.102000 0.109750 0.173250 0.262150 0.228150 0.122250 0.144500 0.153150 2.756045 2.685307 7.724617 0.222073 0.375757 -0.439952 394.310120 35.004959
1.000000 0.035400 0.056650 0.051250 0.311750 0.169900 0.096450 0.093050 0.245450 0.301200 2.624567 2.468264 5.932212 0.716585 1.615508 -0.496552 305.926880 0.039950 0.070050 0.056550 0.360050 0.189000 0.104500 0.123100 0.289850 0.336850 2.754507 2.321105 6.120961 0.728241 1.842582 -0.458685 301.977722 13.333333
0.000000 0.093850 0.110350 0.121050 0.199450 0.289800 0.234750 0.147600 0.174400 0.188450 2.753600 2.569161 7.719105 0.244977 0.456315 -0.448892 359.988098 0.105700 0.121100 0.135800 0.222650 0.310700 0.251850 0.162600 0.191300 0.206550 2.908507 2.709219 7.830503 0.242591 0.512422 -0.439302 352.604797 8.029942
1.000000 0.098600 0.151500 0.224750 0.314050 0.493100 0.380850 0.260600 0.276950 0.298600 2.864925 2.204013 7.022228 0.166821 0.303737 -0.529957 169.665726 0.053700 0.092050 0.114900 0.278900 0.317350 0.224850 0.166500 0.234200 0.257900 2.275588 1.779058 4.109374 0.416419 0.828768 -0.550384 185.367920 4.440356
1.000000 0.026300 0.062000 0.060700 0.275450 0.220600 0.147350 0.108950 0.222500 0.266050 1.852640 1.552976 3.659983 0.640801 1.233412 -0.561980 175.028839 0.034550 0.072700 0.064250 0.384250 0.217600 0.136650 0.123300 0.297450 0.359600 1.776736 1.307125 3.771377 0.714262 1.798857 -0.499570 190.638641 4.333446
