time,cumulative 1-week rainfall (mm)
2017-07-30,0.0
2017-08-06,0.0
2017-08-06,0.0
2017-08-13,0.0
2017-08-20,0.0
2017-08-27,0.0
2017-09-03,0.0
2017-09-03,0.00018310547
2017-09-10,0.0006713867
2017-09-17,0.0004272461
2017-09-24,0.0
2017-10-01,0.5227051
2017-10-01,0.1237793
2017-10-08,1.6870728
2017-10-15,0.6956177
2017-10-22,0.54888916
2017-10-29,4.469116
2017-11-05,1.9976196
2017-11-05,4.595276
2017-11-12,1.6739502
2017-11-19,2.4002075
2017-11-26,6.2701416
2017-12-03,2.2363281
2017-12-03,2.0405884
2017-12-10,12.439575
2017-12-17,8.753296
2017-12-24,18.601685
2017-12-31,15.785034
2018-01-07,3.409668
2018-01-14,4.824524
2018-01-21,7.493347
2018-01-28,13.837158
2018-02-04,7.996216
2018-02-04,8.4331665
2018-02-11,12.439209
2018-02-18,8.821228
2018-02-25,10.396973
2018-03-04,0.8227539
2018-03-04,16.976074
2018-03-11,2.2402954
2018-03-18,11.364136
2018-03-25,12.885925
2018-04-01,10.144165
2018-04-01,1.5891113
2018-04-08,13.151794
2018-04-15,6.48645
2018-04-22,1.9442749
2018-04-29,0.0057373047
2018-05-06,6.1035156e-05
2018-05-06,0.06347656
2018-05-13,0.04248047
2018-05-20,0.02557373
2018-05-27,0.014221191
2018-06-03,6.1035156e-05
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,0.0
2018-07-01,0.0
2018-07-01,0.0
2018-07-08,0.0025634766
2018-07-15,0.0005493164
2018-07-22,0.0
2018-07-29,0.0
2018-08-05,0.0
2018-08-05,0.00091552734
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0025024414
2018-09-02,0.0
2018-09-02,0.0
2018-09-09,0.09765625
2018-09-16,0.0007324219
2018-09-23,0.00030517578
2018-09-30,0.40618896
2018-10-07,0.022338867
2018-10-14,0.0012207031
2018-10-21,0.88494873
2018-10-28,6.255066
2018-11-04,0.15856934
2018-11-04,1.3765869
2018-11-11,2.9765625
2018-11-18,0.12854004
2018-11-25,6.2337036
2018-12-02,6.8586426
2018-12-02,0.8595581
2018-12-09,3.4492798
2018-12-16,1.3242798
2018-12-23,4.9920654
2018-12-30,13.059937
2019-01-06,4.6673584
2019-01-06,16.793274
2019-01-13,4.682068
2019-01-20,11.884766
2019-01-27,4.8623657
2019-02-03,6.381653
2019-02-03,3.703186
2019-02-10,13.692139
2019-02-17,6.6932983
2019-02-24,1.2497559
2019-03-03,1.9863281
2019-03-03,1.9580078
2019-03-10,6.2695923
2019-03-17,5.0720215
2019-03-24,0.70477295
2019-03-31,0.95098877
2019-04-07,2.133728
2019-04-14,4.5792847
2019-04-21,3.0269775
2019-04-28,2.1948853
2019-05-05,0.0
2019-05-05,0.0021972656
2019-05-12,0.0008544922
2019-05-19,0.0067749023
2019-05-26,0.008483887
2019-06-02,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-04,0.0
2019-08-11,0.004272461
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,6.1035156e-05
