,upstream_rainfall,water_discharge,predicted_discharge
1989-06-30,22.230041526932,38089.34,36847.731699999975
1989-09-30,0.119445801318,20520.9,19623.610059999966
1989-12-31,37.682495062606,11343.479,11994.422170000013
1990-03-31,137.8583377575,24604.86,23020.838440000007
1990-06-30,15.618957549580001,35420.97,38423.05021000006
1990-09-30,0.11834716715999999,15978.47,15790.122492351971
1990-12-31,88.9786373222,13264.01,12762.634570000006
1991-03-31,102.0322268652,29023.0,29502.25902499999
1991-06-30,0.29785156271,26732.41,29877.73913500001
1991-09-30,2.821655257152,13614.27,12963.242660000014
1991-12-31,105.766418365776,13733.46,12213.316694999985
1992-03-31,113.372131065,41737.01,37669.76263159397
1992-06-30,4.255981404376,37750.13,34699.74029999996
1992-09-30,1.486572264032,15947.05,15763.026620000008
1992-12-31,51.64221207725,11543.24,10715.00953999999
1993-03-31,112.409789798,18148.16,20603.983779999966
1993-06-30,17.97302249462,26997.15,28733.475199999957
1993-09-30,4.304992726616,13824.025,15098.988529999982
1993-12-31,96.8265989672,11326.1,13275.171112
1994-03-31,86.84515384662,27904.02,31392.897490000014
1994-06-30,6.94903562555,21516.08,24277.538698000022
1994-09-30,0.709594732192,12433.195,13382.112129999992
1994-12-31,63.650146545466,9801.132,10334.719837999999
1995-03-31,111.314696944,17461.4,19565.13357999996
1995-06-30,6.968749982226,29567.07,28989.733377634984
1995-09-30,2.281738282816,13172.08,13670.277279999997
1995-12-31,57.15710442838,10162.047,10587.849615000012
1996-03-31,100.44476341231,18607.16,19992.59878999998
1996-06-30,0.788635251896,22140.42,27059.141064999974
1996-09-30,1.495544429872,10676.248,10842.087318000007
1996-12-31,69.453063972306,8482.156,9796.684339999985
1997-03-31,117.057068441,20157.615,21053.156639999976
1997-06-30,1.824951176456,27588.26,29095.533739999973
1997-09-30,2.97076418098,11638.68,11570.478155000013
1997-12-31,83.54669171832,8806.1,10143.825494999986
1998-03-31,113.266784795,25199.85,24722.70369000004
1998-06-30,4.656616192056,30636.41,31925.3895
1998-09-30,1.3023681770320001,12397.460000000001,12577.598427999988
1998-12-31,89.04443370169,9879.82,10385.210024999982
1999-03-31,125.93774418459999,26854.51,28644.632134999974
1999-06-30,7.759643595816001,41517.43,43395.11540500004
1999-09-30,0.8373413094759999,15413.08,15317.909860000014
1999-12-31,91.21789548332,11330.92,11005.03180900001
2000-03-31,117.01629696865601,28998.461,35584.52765300003
2000-06-30,11.01129148849,31455.6,30719.81654
2000-09-30,2.387390157026,15335.2735,15750.368769999983
2000-12-31,58.176879864262,9341.652,11098.208380000007
2001-03-31,139.566162214,23084.067,21449.3753
2001-06-30,19.34521488532,45948.259,42212.87425000005
2001-09-30,5.06982421267,18594.096,17608.91487999997
2001-12-31,67.848144584452,12101.384,12317.066867999993
2002-03-31,119.011596591,23509.005,22321.090599999952
2002-06-30,9.030700712056,34148.291,32501.87693000001
2002-09-30,1.72674560805,14729.1765,15101.591440000007
2002-12-31,79.10375991332,10596.187,10900.158060000012
2003-03-31,109.4624630892,28709.516,28308.598049999975
2003-06-30,13.71075434199,30014.4655527,29835.497553728033
2003-09-30,1.730590821156,14569.5949473,15552.07538127198
2003-12-31,89.958312872286,11436.2275,11320.178310000014
2004-03-31,131.00561484,53721.9838,44171.168176999985
2004-06-30,13.60595697355,41536.54,40769.47262000001
2004-09-30,1.404602044466,18428.3175,16961.132525243967
2004-12-31,78.1528928046,12261.0205,11419.067639999992
2005-03-31,122.4569093759,29029.903,28397.716419999975
2005-06-30,9.23907469421,41062.5165,42000.04535499996
2005-09-30,0.039733886976000006,15815.727499999999,15568.808370000017
2005-12-31,73.25958252622,10953.5515,11753.305929999995
2006-03-31,127.3726804788,24304.036,23796.213620000002
2006-06-30,10.940429561536,36946.939,39340.64052999996
2006-09-30,2.4010009593259998,17397.232,16554.532585000004
2006-12-31,101.111328498,16191.8725,13701.29217000002
2007-03-31,125.06799305130001,42142.757,34460.00575500003
2007-06-30,4.295471193586,43655.306,44494.94749499998
2007-09-30,0.302124021896,17238.7836,15581.11771599999
2007-12-31,53.40161126671,11187.5889,11944.036598000002
2008-03-31,152.824158128,26793.052,23716.14489999999
2008-06-30,8.42718506612,36832.0585,38580.57068499997
2008-09-30,0.0008544922,16358.6565,15790.34959500002
