time,cumulative daily rainfall (mm)
2010-08-17,0.0
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,0.0
2010-08-23,0.0
2010-08-24,0.0
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-28,0.0
2010-08-29,0.0
2010-08-30,0.0
2010-08-31,0.0
2010-09-01,0.0
2010-09-02,0.0
2010-09-03,0.0
2010-09-04,0.0
2010-09-05,0.0
2010-09-06,0.0
2010-09-07,0.0
2010-09-08,0.0
2010-09-09,0.0
2010-09-10,0.0
2010-09-11,0.0
2010-09-12,6.1035156e-05
2010-09-13,0.001953125
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,0.00012207031
2010-09-17,0.0052490234
2010-09-18,0.0052490234
2010-09-19,0.015380859
2010-09-20,0.00012207031
2010-09-21,0.00048828125
2010-09-22,0.00079345703
2010-09-23,0.0025634766
2010-09-24,0.0
2010-09-25,0.0
2010-09-26,0.0076293945
2010-09-27,0.0009765625
2010-09-28,0.0
2010-09-29,0.0
2010-09-30,0.0
2010-10-01,0.0
2010-10-02,0.0
2010-10-03,0.0
2010-10-04,0.0
2010-10-05,0.0
2010-10-06,0.0
2010-10-07,0.0
2010-10-08,0.0
2010-10-09,0.0
2010-10-10,0.0
2010-10-11,0.00048828125
2010-10-12,0.06793213
2010-10-13,0.1459961
2010-10-14,0.013366699
2010-10-15,0.02166748
2010-10-16,0.019042969
2010-10-17,0.007446289
2010-10-18,0.030578613
2010-10-19,0.0
2010-10-20,0.0012817383
2010-10-21,0.09210205
2010-10-22,0.2598877
2010-10-23,0.28997803
2010-10-24,0.29284668
2010-10-25,0.67974854
2010-10-26,0.27374268
2010-10-27,0.6286621
2010-10-28,0.5005493
2010-10-29,0.3840332
2010-10-30,0.18530273
2010-10-31,0.18591309
2010-11-01,0.07684326
2010-11-02,0.23669434
2010-11-03,0.2966919
2010-11-04,0.019226074
2010-11-05,0.09387207
2010-11-06,0.2571411
2010-11-07,0.26574707
2010-11-08,1.0117188
2010-11-09,0.35784912
2010-11-10,0.0087890625
2010-11-11,0.5118408
2010-11-12,0.8436279
2010-11-13,1.2976685
2010-11-14,2.0479736
2010-11-15,2.7526855
2010-11-16,1.3703613
2010-11-17,1.6673584
2010-11-18,1.7102661
2010-11-19,1.782959
2010-11-20,2.137085
2010-11-21,3.2008057
2010-11-22,2.079773
2010-11-23,2.19104
2010-11-24,2.2965088
2010-11-25,2.4944458
2010-11-26,2.1653442
2010-11-27,1.6349487
2010-11-28,2.8641968
2010-11-29,2.7453003
2010-11-30,1.842102
2010-12-01,2.7178345
2010-12-02,3.3666992
2010-12-03,2.1656494
2010-12-04,2.5292358
2010-12-05,1.7064819
2010-12-06,2.1855469
2010-12-07,3.663391
2010-12-08,2.1192017
2010-12-09,1.7016602
2010-12-10,0.7694702
2010-12-11,0.46105957
2010-12-12,1.0686035
2010-12-13,3.1369019
2010-12-14,2.1813965
2010-12-15,0.90515137
2010-12-16,1.1540527
2010-12-17,1.463623
2010-12-18,0.53118896
2010-12-19,1.4882202
2010-12-20,2.2873535
2010-12-21,2.5651855
2010-12-22,1.2155151
2010-12-23,1.2020874
2010-12-24,1.2460327
2010-12-25,0.9159546
2010-12-26,2.128418
2010-12-27,2.913269
2010-12-28,3.7607422
2010-12-29,0.44085693
2010-12-30,1.2532959
2010-12-31,1.5458984
2011-01-01,3.1832275
2011-01-02,3.6774292
2011-01-03,1.6992188
2011-01-04,1.0664673
2011-01-05,1.6970215
2011-01-06,2.708435
2011-01-07,4.074951
2011-01-08,2.5324097
2011-01-09,0.80236816
2011-01-10,0.4533081
2011-01-11,0.6262207
2011-01-12,2.3603516
2011-01-13,3.6027832
2011-01-14,4.1240845
2011-01-15,4.1799927
2011-01-16,1.3848267
2011-01-17,0.4907837
2011-01-18,1.0634155
2011-01-19,2.0649414
2011-01-20,2.7184448
2011-01-21,2.1002808
2011-01-22,0.13769531
2011-01-23,0.95007324
2011-01-24,3.034668
2011-01-25,0.32556152
2011-01-26,0.051818848
2011-01-27,0.3131714
2011-01-28,0.13012695
2011-01-29,0.37304688
2011-01-30,1.6871948
2011-01-31,2.7928467
2011-02-01,1.9780884
2011-02-02,3.0604248
2011-02-03,2.7330933
2011-02-04,2.9137573
2011-02-05,2.574524
2011-02-06,1.8934937
2011-02-07,1.9169312
2011-02-08,1.1681519
2011-02-09,0.5283203
2011-02-10,1.37323
2011-02-11,2.3206177
2011-02-12,2.1200562
