2019 <br> 2014,Treed areas,Prairies,Cultivated land,Wetlands,Artificial surfaces,Other land,Water bodies
Treed areas,380718,900,3573,0,0,315,0
Prairies,135,1403109,4086,0,0,142677,0
Cultivated land,342,3348,4602213,0,0,846,0
Wetlands,0,0,0,540,0,0,0
Artificial surfaces,90,378,11142,9,108351,4167,54
Other land,9,207,387,0,0,8696781,0
Water bodies,9,0,0,9,0,0,85428
