2019 <br> 2014,Very low,Low,Normal,High,Very high
Very low,89.32,2.75,0.09,0.15,0.00
Low,10.64,84.18,13.95,0.34,0.00
Normal,0.05,13.07,79.38,47.91,37.67
High,0.00,0.00,6.56,50.55,35.00
Very high,0.00,0.00,0.02,1.05,27.33
