,2014,2015,2016,2017,2018,2019
Treed areas,692658,692649,697527,702342,797058,844074
Prairies,6743601,6743520,6726006,6721191,6671151,6605307
Cultivated land,19629801,19628991,19630296,19621431,19568844,19577925
Wetlands,26307,26307,26190,26109,25668,25758
Artificial surfaces,36711,37629,45405,51030,56601,60111
Other land,111033,111015,114165,115038,115326,120717
Water bodies,97128,97128,97650,100098,102591,103347
