2019 <br> 2014,Treed areas,Prairies,Cultivated land,Wetlands,Artificial surfaces,Other land,Water bodies
Treed areas,692469,71865,79479,162,0,99,0
Prairies,18,6560253,41022,0,0,4014,0
Cultivated land,54,93609,19484253,0,0,9,0
Wetlands,0,27,189,25542,0,0,0
Artificial surfaces,90,3861,19404,27,36711,18,0
Other land,0,13725,99,0,0,106893,0
Water bodies,27,261,5355,576,0,0,97128
