# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.062200 0.093100 0.142850 0.235750 0.313750 0.219300 0.169100 0.191400 0.214100 2.104862 1.823084 6.141605 0.245713 0.398830 -0.542043 164.596710 0.058500 0.084800 0.109500 0.231000 0.263600 0.208900 0.140450 0.196450 0.220300 2.935599 2.645642 6.443266 0.357888 0.644879 -0.512253 132.136963 2.376769
1.000000 0.046150 0.090450 0.083400 0.358700 0.282250 0.165150 0.164500 0.298050 0.333350 2.601341 2.097217 4.968060 0.616594 1.515224 -0.515582 169.220459 0.051850 0.094650 0.102150 0.363300 0.289950 0.183800 0.180750 0.299050 0.329650 2.640279 2.082795 5.139200 0.560918 1.371123 -0.507508 156.404755 3.437661
0.000000 0.099550 0.139650 0.172600 0.227750 0.278400 0.230800 0.194650 0.214700 0.222500 3.078336 2.792945 8.167308 0.138128 0.210721 -0.333124 160.415863 0.102950 0.138650 0.167050 0.235200 0.280900 0.235350 0.191700 0.220050 0.230000 3.550363 3.220134 8.186146 0.170158 0.304331 -0.340232 131.224701 28.339460
0.000000 0.045750 0.065250 0.077950 0.125800 0.242650 0.194250 0.099750 0.114700 0.121950 2.188948 2.501477 7.146474 0.234846 0.226717 -0.576553 163.151031 0.051600 0.068250 0.077800 0.128850 0.235100 0.191650 0.099100 0.118200 0.126900 2.446168 2.562119 6.997758 0.246116 0.261230 -0.549838 131.557129 23.929287
0.000000 0.084550 0.100400 0.106700 0.182700 0.239850 0.197450 0.121000 0.148300 0.162000 2.808069 2.810534 7.898571 0.258592 0.457357 -0.409415 412.677368 0.089550 0.103100 0.109550 0.186550 0.245200 0.204350 0.124900 0.153350 0.166050 2.943563 2.758211 7.300046 0.258510 0.471797 -0.408195 394.310120 35.004959
0.000000 0.040800 0.081950 0.150350 0.210350 0.321800 0.280700 0.175600 0.195500 0.206350 2.838250 2.548117 7.702603 0.165863 0.181523 -0.594053 156.703217 0.046400 0.080950 0.139450 0.215400 0.314100 0.276300 0.166300 0.197500 0.209950 3.029910 2.710937 7.391383 0.213256 0.283345 -0.589924 128.513916 14.166667
1.000000 0.057100 0.087900 0.120700 0.158950 0.208650 0.171800 0.136550 0.149500 0.156150 2.769231 2.745340 7.902311 0.135598 0.116949 -0.408024 160.124542 0.057000 0.087050 0.114950 0.180500 0.208850 0.170350 0.140450 0.166200 0.172750 2.691782 2.662187 6.874660 0.216157 0.287175 -0.412722 129.554626 5.335937
1.000000 0.085300 0.119950 0.165500 0.252800 0.401900 0.317450 0.194000 0.215000 0.234800 2.987969 2.512898 7.711662 0.208736 0.374588 -0.540285 167.397186 0.029500 0.054300 0.042450 0.398500 0.161350 0.092400 0.093800 0.292050 0.382450 2.167500 1.844462 4.777161 0.807252 2.133159 -0.496401 139.243988 2.904235
0.000000 0.233350 0.266850 0.285100 0.407750 0.432950 0.390550 0.334900 0.380250 0.395800 3.177032 2.316245 7.935156 0.177045 0.696925 -0.237371 359.988098 0.195700 0.222500 0.242650 0.367450 0.390650 0.347100 0.288150 0.334500 0.351750 3.222713 2.483051 7.289702 0.204673 0.712196 -0.274333 352.604797 8.029942
0.000000 0.248150 0.285200 0.311350 0.326850 0.476250 0.529700 0.339500 0.320100 0.319850 2.993505 2.039460 7.046096 -0.030367 -0.252224 -0.237176 308.364868 0.276500 0.304900 0.328750 0.348150 0.493350 0.563700 0.350950 0.334950 0.330550 2.455729 1.458456 7.062473 -0.016594 -0.197207 -0.217001 303.974121 3.952847
