2000-03-01,03:10:00,0.189,1,35.118,1
2000-03-01,06:54:00,0.181,1,32.889,1
2000-03-01,19:57:00,0.167,1,29.113,1
2000-03-02,15:48:00,0.166,1,28.850,1
2000-03-02,19:28:00,0.142,1,22.778,1
2000-03-02,22:35:00,0.167,1,29.113,1
2000-03-03,05:13:00,0.160,1,27.285,1
2000-03-03,08:25:00,0.170,1,29.909,1
2000-03-03,17:20:00,0.327,1,80.849,1
2000-03-03,21:55:00,0.376,1,100.078,1
2000-03-04,08:05:00,0.444,1,129.121,1
2000-03-04,16:54:00,0.502,1,155.925,1
2000-03-04,21:33:00,0.500,1,154.970,1
2000-03-04,22:47:00,0.537,1,172.978,1
2000-03-05,09:44:00,0.671,1,244.025,1
2000-03-05,16:08:00,0.687,1,253.097,1
2000-03-06,02:43:00,0.678,1,247.977,1
2000-03-06,04:26:00,0.645,1,229.548,1
2000-03-06,08:10:00,0.635,1,224.065,1
2000-03-06,16:59:00,0.675,1,246.280,1
2000-03-07,00:35:00,0.668,1,242.338,1
2000-03-07,07:01:00,0.604,1,207.379,1
2000-03-07,13:16:00,0.587,1,198.433,1
2000-03-08,06:01:00,0.492,1,151.173,1
2000-03-08,16:53:00,0.442,1,128.229,1
2000-03-09,08:50:00,0.412,1,115.123,1
2000-03-10,20:47:00,0.318,1,77.476,1
2000-03-12,04:43:00,0.260,1,57.004,1
2000-03-12,11:28:00,0.246,1,52.402,1
2000-03-14,09:11:00,0.201,1,38.555,1
2000-03-14,23:31:00,0.195,1,36.823,1
2000-03-15,05:14:00,0.181,1,32.889,1
2000-03-16,17:16:00,0.162,1,27.803,1
2000-03-17,07:09:00,0.160,1,27.285,1
2000-03-17,20:50:00,0.189,1,35.118,1
2000-03-18,08:33:00,0.191,1,35.684,1
2000-03-18,16:18:00,0.218,1,43.611,1
2000-03-18,20:02:00,0.254,1,55.015,1
2000-03-19,03:31:00,0.255,1,55.345,1
2000-03-19,10:18:00,0.327,1,80.849,1
2000-03-19,23:47:00,0.467,1,139.530,1
2000-03-20,08:30:00,0.506,1,157.841,1
2000-03-20,19:22:00,0.515,1,162.181,1
2000-03-21,09:29:00,0.504,1,156.882,1
2000-03-22,12:55:00,0.548,1,178.470,1
2000-03-22,17:30:00,0.547,1,177.968,1
2000-03-22,22:07:00,0.573,1,191.177,1
2000-03-23,03:50:00,0.571,1,190.149,1
2000-03-23,14:33:00,0.559,1,184.022,1
2000-03-23,19:35:00,0.539,1,173.972,1
2000-03-24,01:31:00,0.528,1,168.530,1
