spatial_ref,MNDWI,X,Y
32633,0.35588488,272535.0,-824955.0
32633,0.35540068,272565.0,-824955.0
32633,0.34954625,272595.0,-824955.0
32633,0.35032365,272625.0,-824955.0
32633,0.36148524,272655.0,-824955.0
32633,0.36716065,272685.0,-824955.0
32633,0.35845333,272715.0,-824955.0
32633,0.35241827,272745.0,-824955.0
32633,0.3542227,272775.0,-824955.0
32633,0.35663953,272805.0,-824955.0
32633,0.35859355,272835.0,-824955.0
32633,0.35892072,272865.0,-824955.0
32633,0.36264223,272895.0,-824955.0
32633,0.36477554,272925.0,-824955.0
32633,0.36835888,272955.0,-824955.0
32633,0.3448561,272985.0,-824955.0
32633,0.35133186,273015.0,-824955.0
32633,0.37392995,273045.0,-824955.0
32633,0.38018277,273075.0,-824955.0
32633,0.4930397,273105.0,-824955.0
32633,0.47893366,273135.0,-824955.0
32633,0.50238657,273165.0,-824955.0
32633,0.5737914,273195.0,-824955.0
32633,0.5637572,273225.0,-824955.0
32633,0.6039434,273255.0,-824955.0
32633,-0.32535306,273285.0,-824955.0
32633,0.2079386,273315.0,-824955.0
32633,0.2537205,273345.0,-824955.0
32633,0.27036756,273375.0,-824955.0
32633,0.30137247,273405.0,-824955.0
32633,0.3375372,273435.0,-824955.0
32633,0.35438266,273465.0,-824955.0
32633,0.35025328,273495.0,-824955.0
32633,0.3609758,273525.0,-824955.0
32633,0.3651548,273555.0,-824955.0
32633,0.36080444,273585.0,-824955.0
32633,0.36554563,273615.0,-824955.0
32633,0.3768666,273645.0,-824955.0
32633,0.38113883,273675.0,-824955.0
32633,0.3884594,273705.0,-824955.0
32633,0.39718908,273735.0,-824955.0
32633,0.42411277,273765.0,-824955.0
32633,0.4531623,273795.0,-824955.0
32633,0.28204727,273825.0,-824955.0
32633,-0.10146376,273855.0,-824955.0
32633,-0.32039183,273885.0,-824955.0
32633,-0.31946743,273915.0,-824955.0
32633,-0.026081055,273945.0,-824955.0
32633,-0.0772113,273975.0,-824955.0
32633,-0.36518705,274005.0,-824955.0
32633,-0.42782918,274035.0,-824955.0
32633,-0.4295272,274065.0,-824955.0
32633,-0.4334665,274095.0,-824955.0
32633,-0.42058155,274125.0,-824955.0
32633,-0.3937076,274155.0,-824955.0
32633,-0.38656217,274185.0,-824955.0
32633,-0.4180401,274215.0,-824955.0
32633,-0.44037664,274245.0,-824955.0
32633,-0.4448327,274275.0,-824955.0
32633,-0.44061446,274305.0,-824955.0
32633,-0.4370828,274335.0,-824955.0
32633,-0.44138327,274365.0,-824955.0
32633,-0.4472708,274395.0,-824955.0
32633,-0.44775662,274425.0,-824955.0
32633,-0.44940147,274455.0,-824955.0
32633,-0.44542187,274485.0,-824955.0
32633,-0.4400665,274515.0,-824955.0
32633,-0.43763733,274545.0,-824955.0
32633,-0.43911648,274575.0,-824955.0
32633,-0.44701028,274605.0,-824955.0
32633,-0.45658994,274635.0,-824955.0
32633,-0.45493728,274665.0,-824955.0
32633,-0.44933543,274695.0,-824955.0
32633,-0.4138666,274725.0,-824955.0
32633,-0.33492976,274755.0,-824955.0
32633,-0.28734416,274785.0,-824955.0
32633,-0.31837037,274815.0,-824955.0
32633,-0.3761906,274845.0,-824955.0
32633,-0.39317685,274875.0,-824955.0
32633,-0.35455877,274905.0,-824955.0
32633,-0.31716257,274935.0,-824955.0
32633,-0.31000936,274965.0,-824955.0
32633,-0.34779668,274995.0,-824955.0
32633,-0.37981695,275025.0,-824955.0
32633,-0.3777726,275055.0,-824955.0
32633,-0.37613553,275085.0,-824955.0
32633,-0.4013052,275115.0,-824955.0
32633,-0.4382915,275145.0,-824955.0
32633,-0.45482272,275175.0,-824955.0
32633,-0.4532124,275205.0,-824955.0
32633,-0.44441825,275235.0,-824955.0
32633,-0.4407764,275265.0,-824955.0
32633,-0.45132565,275295.0,-824955.0
32633,-0.4621163,275325.0,-824955.0
32633,-0.46079224,275355.0,-824955.0
32633,-0.4430225,275385.0,-824955.0
32633,-0.44051677,275415.0,-824955.0
32633,-0.4560267,275445.0,-824955.0
32633,-0.4652687,275475.0,-824955.0
32633,-0.46121055,275505.0,-824955.0
32633,-0.45442978,275535.0,-824955.0
32633,-0.46611682,275565.0,-824955.0
32633,-0.47357127,275595.0,-824955.0
32633,-0.48000968,275625.0,-824955.0
32633,-0.48041296,275655.0,-824955.0
32633,-0.47700745,275685.0,-824955.0
32633,-0.47066838,275715.0,-824955.0
32633,-0.46775043,275745.0,-824955.0
32633,-0.47495624,275775.0,-824955.0
32633,-0.49171633,275805.0,-824955.0
32633,-0.4943629,275835.0,-824955.0
32633,-0.49094233,275865.0,-824955.0
32633,-0.49319363,275895.0,-824955.0
32633,-0.4895074,275925.0,-824955.0
32633,-0.47753626,275955.0,-824955.0
32633,-0.47635555,275985.0,-824955.0
32633,-0.4778727,276015.0,-824955.0
32633,-0.45520586,276045.0,-824955.0
32633,-0.45404494,276075.0,-824955.0
32633,-0.47642955,276105.0,-824955.0
32633,-0.49055868,276135.0,-824955.0
32633,-0.4913325,276165.0,-824955.0
32633,-0.48828918,276195.0,-824955.0
32633,-0.47807285,276225.0,-824955.0
32633,-0.47050542,276255.0,-824955.0
32633,-0.48374936,276285.0,-824955.0
32633,-0.48912188,276315.0,-824955.0
32633,-0.48498923,276345.0,-824955.0
32633,-0.48370293,276375.0,-824955.0
32633,-0.48517317,276405.0,-824955.0
32633,-0.48469958,276435.0,-824955.0
32633,-0.4794415,276465.0,-824955.0
32633,-0.46769166,276495.0,-824955.0
32633,-0.4533405,276525.0,-824955.0
32633,-0.456471,276555.0,-824955.0
32633,-0.4614886,276585.0,-824955.0
32633,-0.45715168,276615.0,-824955.0
32633,-0.45814523,276645.0,-824955.0
32633,-0.47480822,276675.0,-824955.0
32633,-0.47803512,276705.0,-824955.0
32633,-0.4692761,276735.0,-824955.0
32633,-0.45416304,276765.0,-824955.0
32633,-0.43551412,276795.0,-824955.0
32633,-0.41781822,276825.0,-824955.0
32633,-0.42392156,276855.0,-824955.0
32633,-0.4536581,276885.0,-824955.0
32633,-0.45701495,276915.0,-824955.0
32633,-0.4482764,276945.0,-824955.0
32633,-0.44489148,276975.0,-824955.0
32633,0.3574329,272535.0,-824985.0
32633,0.3649344,272565.0,-824985.0
32633,0.35580397,272595.0,-824985.0
32633,0.34379297,272625.0,-824985.0
32633,0.34826913,272655.0,-824985.0
32633,0.36324292,272685.0,-824985.0
32633,0.363617,272715.0,-824985.0
32633,0.35535708,272745.0,-824985.0
32633,0.35377952,272775.0,-824985.0
32633,0.35669237,272805.0,-824985.0
32633,0.3581063,272835.0,-824985.0
32633,0.36075255,272865.0,-824985.0
32633,0.36001724,272895.0,-824985.0
32633,0.36537254,272925.0,-824985.0
32633,0.3669363,272955.0,-824985.0
32633,0.3658467,272985.0,-824985.0
32633,0.36947536,273015.0,-824985.0
32633,0.36969766,273045.0,-824985.0
32633,0.3673725,273075.0,-824985.0
32633,0.46427354,273105.0,-824985.0
32633,0.47374144,273135.0,-824985.0
32633,0.47680253,273165.0,-824985.0
32633,0.48156613,273195.0,-824985.0
32633,0.5034432,273225.0,-824985.0
32633,0.5764493,273255.0,-824985.0
32633,1.1459434,273285.0,-824985.0
32633,-0.24737123,273315.0,-824985.0
32633,0.10308821,273345.0,-824985.0
32633,0.21499836,273375.0,-824985.0
32633,0.28790566,273405.0,-824985.0
32633,0.3341988,273435.0,-824985.0
32633,0.3499043,273465.0,-824985.0
32633,0.3439383,273495.0,-824985.0
32633,0.3572381,273525.0,-824985.0
32633,0.3656237,273555.0,-824985.0
32633,0.36235586,273585.0,-824985.0
32633,0.3627168,273615.0,-824985.0
32633,0.37544742,273645.0,-824985.0
32633,0.381601,273675.0,-824985.0
32633,0.3762046,273705.0,-824985.0
32633,0.37461963,273735.0,-824985.0
32633,0.39160857,273765.0,-824985.0
32633,0.4295232,273795.0,-824985.0
32633,0.40468857,273825.0,-824985.0
32633,0.07839286,273855.0,-824985.0
32633,-0.23307954,273885.0,-824985.0
32633,-0.33484164,273915.0,-824985.0
32633,-0.21370819,273945.0,-824985.0
32633,-0.12977126,273975.0,-824985.0
32633,-0.35127744,274005.0,-824985.0
32633,-0.42624232,274035.0,-824985.0
32633,-0.4253844,274065.0,-824985.0
32633,-0.40718213,274095.0,-824985.0
32633,-0.3702117,274125.0,-824985.0
32633,-0.33048525,274155.0,-824985.0
