,spatial_ref,MNDWI,X,Y
0,32639,-0.39919788,353235.0,828675.0
1,32639,-0.3895149,353265.0,828675.0
2,32639,-0.37987953,353295.0,828675.0
3,32639,-0.37829483,353325.0,828675.0
4,32639,-0.38757887,353355.0,828675.0
5,32639,-0.39481622,353385.0,828675.0
6,32639,-0.4153009,353415.0,828675.0
7,32639,-0.44106728,353445.0,828675.0
8,32639,-0.4457148,353475.0,828675.0
9,32639,-0.4508875,353505.0,828675.0
10,32639,-0.45538965,353535.0,828675.0
11,32639,-0.45116794,353565.0,828675.0
12,32639,-0.4227878,353595.0,828675.0
13,32639,-0.4065029,353625.0,828675.0
14,32639,-0.41368687,353655.0,828675.0
15,32639,-0.40560058,353685.0,828675.0
16,32639,-0.39575484,353715.0,828675.0
17,32639,-0.4016838,353745.0,828675.0
18,32639,-0.40999955,353775.0,828675.0
19,32639,-0.41624472,353805.0,828675.0
20,32639,-0.41263565,353835.0,828675.0
21,32639,-0.39413366,353865.0,828675.0
22,32639,-0.39089203,353895.0,828675.0
23,32639,-0.40151575,353925.0,828675.0
24,32639,-0.40757948,353955.0,828675.0
25,32639,-0.40812644,353985.0,828675.0
26,32639,-0.41720614,354015.0,828675.0
27,32639,-0.4238099,354045.0,828675.0
28,32639,-0.4130349,354075.0,828675.0
29,32639,-0.41190726,354105.0,828675.0
30,32639,-0.41477948,354135.0,828675.0
31,32639,-0.39930317,354165.0,828675.0
32,32639,-0.38458553,354195.0,828675.0
33,32639,-0.3805294,354225.0,828675.0
34,32639,-0.37987703,354255.0,828675.0
35,32639,-0.3808736,354285.0,828675.0
36,32639,-0.3818706,354315.0,828675.0
37,32639,-0.38433877,354345.0,828675.0
38,32639,-0.3889437,354375.0,828675.0
39,32639,-0.3824087,354405.0,828675.0
40,32639,-0.37207592,354435.0,828675.0
41,32639,-0.3735293,354465.0,828675.0
42,32639,-0.3806346,354495.0,828675.0
43,32639,-0.37899917,354525.0,828675.0
44,32639,-0.37844837,354555.0,828675.0
45,32639,-0.38418666,354585.0,828675.0
46,32639,-0.39568898,354615.0,828675.0
47,32639,-0.40398028,354645.0,828675.0
48,32639,-0.40753558,354675.0,828675.0
49,32639,-0.4084079,354705.0,828675.0
50,32639,-0.41140556,354735.0,828675.0
51,32639,-0.40700275,354765.0,828675.0
52,32639,-0.3940751,354795.0,828675.0
53,32639,-0.38900787,354825.0,828675.0
54,32639,-0.38206735,354855.0,828675.0
55,32639,-0.36170855,354885.0,828675.0
56,32639,-0.3496631,354915.0,828675.0
57,32639,-0.3515571,354945.0,828675.0
58,32639,-0.35951135,354975.0,828675.0
59,32639,-0.3724207,355005.0,828675.0
60,32639,-0.3830504,355035.0,828675.0
61,32639,-0.39970347,355065.0,828675.0
62,32639,-0.4153012,355095.0,828675.0
63,32639,-0.40961596,355125.0,828675.0
64,32639,-0.40499014,355155.0,828675.0
65,32639,-0.41427228,355185.0,828675.0
66,32639,-0.41644973,355215.0,828675.0
67,32639,-0.4067243,355245.0,828675.0
68,32639,-0.39416716,355275.0,828675.0
69,32639,-0.3876235,355305.0,828675.0
70,32639,-0.38198933,355335.0,828675.0
71,32639,-0.37904328,355365.0,828675.0
72,32639,-0.37962067,355395.0,828675.0
73,32639,-0.38390505,355425.0,828675.0
74,32639,-0.3797539,355455.0,828675.0
75,32639,-0.3608885,355485.0,828675.0
76,32639,-0.3469214,355515.0,828675.0
77,32639,-0.34223688,355545.0,828675.0
78,32639,-0.3421005,355575.0,828675.0
79,32639,-0.34336752,355605.0,828675.0
80,32639,-0.3505436,355635.0,828675.0
81,32639,-0.36515796,355665.0,828675.0
82,32639,-0.3746992,355695.0,828675.0
83,32639,-0.37380257,355725.0,828675.0
84,32639,-0.36966658,355755.0,828675.0
85,32639,-0.3577196,355785.0,828675.0
86,32639,-0.34305272,355815.0,828675.0
87,32639,-0.343082,355845.0,828675.0
88,32639,-0.35615313,355875.0,828675.0
